class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,302,0.5562913907284768,0.4666666666666667,3,3,9.933774834437086,5,16.55629139072848,10,33.11258278145696
1,345,0.6463768115942029,0.26666666666666666,3,3,8.695652173913045,9,26.086956521739133,27,78.26086956521739
1,1004,0.6723107569721115,0.6666666666666666,4,7,6.972111553784861,22,21.91235059760956,72,71.71314741035856
1,1603,0.5464753587024329,0.5333333333333333,13,11,6.862133499688085,28,17.467248908296945,43,26.824703680598876
1,909,0.6061606160616062,0.8,5,3,3.3003300330033003,20,22.002200220022,24,26.402640264026402
1,880,0.6352272727272728,0.5333333333333333,5,4,4.545454545454546,19,21.59090909090909,26,29.545454545454547
1,410,0.6292682926829268,0.4666666666666667,3,1,2.4390243902439024,6,14.634146341463415,19,46.34146341463415
1,1220,0.6155737704918033,0.4666666666666667,5,3,2.459016393442623,35,28.688524590163937,37,30.327868852459016
1,438,0.3835616438356164,0.2,5,2,4.566210045662101,3,6.8493150684931505,7,15.981735159817351
1,1525,0.44459016393442624,0.4,7,12,7.868852459016394,10,6.557377049180328,28,18.36065573770492
1,889,0.530933633295838,0.5333333333333333,6,2,2.249718785151856,16,17.99775028121485,17,19.122609673790777
1,280,0.6142857142857143,0.4666666666666667,3,2,7.142857142857142,9,32.14285714285714,9,32.14285714285714
1,421,0.5273159144893111,0.4,5,5,11.876484560570072,12,28.503562945368174,9,21.37767220902613
1,377,0.6472148541114059,0.3333333333333333,3,2,5.305039787798409,7,18.56763925729443,11,29.177718832891248
1,3461,0.3513435423288067,0.4666666666666667,10,19,5.489742848887605,29,8.379081190407398,25,7.22334585379948
1,777,0.44272844272844275,0.2,5,5,6.435006435006435,4,5.148005148005148,12,15.444015444015443
1,501,0.6107784431137725,0.4,2,4,7.984031936127744,13,25.948103792415168,8,15.968063872255488
1,367,0.5177111716621253,0.2,4,1,2.7247956403269757,4,10.899182561307903,6,16.348773841961854
1,239,0.5188284518828452,0.4666666666666667,5,1,4.184100418410042,3,12.552301255230127,4,16.736401673640167
1,1761,0.4838160136286201,0.6,9,10,5.6785917092561045,16,9.085746734809767,40,22.714366837024418
1,320,0.596875,0.6666666666666666,3,5,15.625,5,15.625,12,37.5
1,320,0.596875,0.2,3,2,6.25,8,25,10,31.25
1,1090,0.6229357798165137,0.3333333333333333,4,10,9.174311926605505,54,49.54128440366972,37,33.944954128440365
1,515,0.5825242718446602,0.3333333333333333,4,3,5.825242718446602,13,25.24271844660194,12,23.300970873786408
1,643,0.5132192846034215,0.4666666666666667,5,5,7.776049766718507,12,18.662519440124417,22,34.21461897356143
1,1094,0.520109689213894,0.4666666666666667,5,9,8.22669104204753,19,17.367458866544787,32,29.25045703839122
1,534,0.6254681647940075,0.5333333333333333,2,6,11.235955056179774,15,28.089887640449437,11,20.599250936329586
1,240,0.5833333333333334,0.3333333333333333,4,4,16.666666666666668,3,12.5,10,41.66666666666667
1,240,0.5833333333333334,0.3333333333333333,4,4,16.666666666666668,3,12.5,10,41.66666666666667
1,344,0.5988372093023255,0.7333333333333333,5,6,17.44186046511628,13,37.79069767441861,14,40.697674418604656
1,443,0.6117381489841986,0.6666666666666666,3,2,4.514672686230249,6,13.544018058690744,20,45.14672686230248
1,895,0.5776536312849162,0.2,5,4,4.4692737430167595,22,24.581005586592177,18,20.11173184357542
1,1253,0.5682362330407024,0.4,7,6,4.788507581803672,19,15.163607342378294,87,69.43335993615324
1,645,0.4945736434108527,0.26666666666666666,14,7,10.852713178294573,13,20.155038759689923,13,20.155038759689923
1,459,0.5228758169934641,0.5333333333333333,4,7,15.250544662309368,10,21.78649237472767,4,8.714596949891067
1,673,0.5319465081723626,0.4,4,8,11.88707280832095,9,13.372956909361069,7,10.40118870728083
1,621,0.6666666666666666,0.4666666666666667,3,1,1.6103059581320451,32,51.529790660225444,32,51.529790660225444
1,2902,0.6271536871123363,0.4666666666666667,19,9,3.1013094417643003,104,35.83735354927636,111,38.249483115093035
1,404,0.5198019801980198,0.3333333333333333,7,5,12.376237623762375,7,17.326732673267326,7,17.326732673267326
1,645,0.6108527131782946,0.2,7,4,6.201550387596899,15,23.25581395348837,25,38.75968992248062
1,582,0.563573883161512,0.5333333333333333,4,3,5.154639175257732,11,18.900343642611684,16,27.491408934707906
1,304,0.6644736842105263,0.4,3,2,6.578947368421053,6,19.736842105263158,14,46.05263157894737
1,911,0.6904500548847421,0.5333333333333333,3,2,2.195389681668496,17,18.660812294182218,60,65.86169045005488
1,911,0.6904500548847421,0.5333333333333333,3,2,2.195389681668496,17,18.660812294182218,60,65.86169045005488
